대,선거구명,기호,정당명,성명,한자,성별,생년월일,연령,직업,학력,득표율
3,부산광역시,1,한나라당,안상영,安相英,남,1938.11.18,63,부산광역시장,서울대학교 토목공학과 4년 졸업,63.76
3,부산광역시,2,새천년민주당,한이헌,韓利憲,남,1944.05.11,58,정당인,서울대학교 경제학과 4년 졸업,19.39
3,부산광역시,3,민주노동당,김석준,金錫俊,남,1957.03.28,45,부산대 교수,서울대학교 사회학과 4년 졸업,16.83
3,대구광역시,1,한나라당,조해녕,曺海寧,남,1943.11.04,58,한국재난연구원원장,서울대학교 행정대학원 2년 졸업,61.18
3,대구광역시,3,무소속,이재용,李在庸,남,1954.07.01,47,무직,서울대학교 치과대학6년졸업,38.81
3,인천광역시,1,한나라당,안상수,安相洙,남,1946.05.28,56,정당인,서울대학교 경영대학원 5학기졸업,56.17
3,인천광역시,2,새천년민주당,박상은,朴商銀,남,1949.09.01,52,정당인,연세대학교 대학원 법학과 2년졸업,32.11
3,인천광역시,3,녹색평화당,신맹순,申孟淳,남,1942.05.14,60,정치인,고려대교육대학원 지리교육과 5학기수료,4.2
3,인천광역시,4,민주노동당,김창한,金昌漢,남,1960.06.25,41,정당인,동국대학교 농업생물학과 3년 제적('82),5.02
3,인천광역시,5,사회당,김영규,金榮圭,남,1946.09.03,55,인하대학교 사회과학대 교수,미국 USC 대학원재정학박사 학위취득('85),2.48
3,광주광역시,1,한나라당,이환의,李桓儀,남,1931.09.16,70,정당인,서울대학교사범대학사회학과4년졸업,11
3,광주광역시,2,새천년민주당,박광태,朴光泰,남,1943.06.02,59,정당인,조선대학교법정대학4년졸업,46.81
3,광주광역시,3,민주노동당,박종현,朴鍾賢,남,1959.12.17,42,캐리어(주)근무,조선대학교기계공학과4년졸업,7.4
3,광주광역시,4,무소속,정구선,鄭求宣,남,1939.10.15,62,시민단체 대표,전남대학교농과대학4년졸업,2.48
3,광주광역시,5,무소속,정동년,鄭東年,남,1943.11.23,58,정치인,전남대학교화학과4년졸업,27.04
3,광주광역시,6,무소속,정호선,鄭鎬宣,남,1943.01.29,59,정치인,프랑스뚤루즈공대전자공학과4년졸업,5.23
3,대전광역시,1,한나라당,염홍철,廉弘喆,남,1944.09.06,57,정당인,중앙대학교 대학원3년 졸업(정치학박사),46.61
3,대전광역시,3,자민련,홍선기,洪善基,남,1936.10.03,65,대전광역시장,중앙대학교 경상대학 경제학과4년 졸업,40.2
3,대전광역시,4,무소속,김헌태,金憲泰,남,1954.05.20,48,무직,한남대학교 대학원 2년 졸업,3.83
3,대전광역시,5,무소속,정하용,鄭夏容,남,1949.04.30,53,배재대학교 교수,단국대 대학원 3년졸업(행정학박사),9.34
3,울산광역시,1,한나라당,박맹우,朴孟雨,남,1950.11.08,51,정당인,경남대학교행정대학원2년졸업,53.07
3,울산광역시,3,민주노동당,송철호,宋哲鎬,남,1949.05.26,53,변호사,고려대학교법학과4년졸업,43.61
3,울산광역시,4,사회당,안승천,安承千,남,1960.01.20,42,정당인,부산대학교2년중퇴,3.3
3,경기도,1,한나라당,손학규,孫鶴圭,남,1947.11.22,54,정당인,영국옥스포드대학교 정치학박사(5년) 졸업,58.37
3,경기도,2,새천년민주당,진념,陳념,남,1940.12.02,61,정당인,서울대학교 경제학과 4년졸업,35.98
3,경기도,3,민주노동당,김준기,金準基,남,1938.09.29,63,정당인,서울대학교 농과대학 4년졸업,5.63
3,강원도,1,한나라당,김진선,金振선,남,1946.11.10,55,공무원,동국대학교행정학과4년졸업,71.11
3,강원도,2,새천년민주당,남동우,南東佑,남,1946.02.08,56,정당인,서울대학교행정대학원2년6월졸업,28.88
3,충청북도,1,한나라당,이원종,李元鐘,남,1942.04.04,60,공무원(도지사),성균관대학교 행정학과 4년 졸업,58.59
3,충청북도,3,자민련,구천서,具天書,남,1950.02.28,52,대한태권도협회 회장,고려대학교 정책과학대학원 석사과정 졸업,33.47
3,충청북도,4,무소속,장한량,張漢良,남,1952.03.26,50,무직,미국 와그너대학교 정치학과 4년 중퇴,7.92
3,충청남도,1,한나라당,박태권,朴泰權,남,1946.09.27,55,정당인,동국대학교 정치외교학과 4년 졸업,33.03
3,충청남도,3,자민련,심대평,沈大平,남,1941.04.07,61,충청남도지사,서울대학교 경제학과 4년졸업,66.96
3,전라북도,1,한나라당,라경균,羅庚均,남,1959.04.01,43,정당인,원광대학교 대학원 졸업(법학박사),8.3
3,전라북도,2,새천년민주당,강현욱,姜賢旭,남,1938.03.27,64,정당인,서울대학교 외교학과 4년 졸업,74.56
3,전라북도,3,무소속,손주항,孫周恒,남,1934.02.25,68,전주 대사습 장학재단 이사장,중앙대학교 정치과 4년 수료,17.12
3,전라남도,1,한나라당,황수연,黃守淵,남,1960.05.28,42,교수,전주대학교행정대학원7학기졸업,5.27
3,전라남도,2,새천년민주당,박태영,朴泰榮,남,1941.12.04,60,정당인,서울대학교 상과대학4년졸업,57.76
3,전라남도,3,무소속,송재구,宋載久,남,1941.09.21,60,정치인,한양대학교 일반대학원3년졸업(행정학박사),24.24
3,전라남도,4,무소속,송하성,宋河星,남,1954.10.20,47,경기대학교 경영대학원 교수,솔본느대학 경제학과 3년졸업(박사과정),9.17
3,전라남도,5,무소속,안수원,安銖源,남,1951.02.12,51,월드레져타운 대표,연세대행정대학원 정치학석사과정1학기재학,3.53
3,경상북도,1,한나라당,이의근,李義根,남,1938.11.07,63,경상북도지사,청구대(현 영남대학교) 경제학과4년졸업,85.49
3,경상북도,3,무소속,조영건,曺泳健,남,1935.08.02,66,의료법인 왜관병원 이사장,미기재,14.5
3,경상남도,1,한나라당,김혁규,金爀珪,남,1939.08.01,62,공무원,창원대학교 경영대학원졸업(경영학석사),74.5
3,경상남도,2,새천년민주당,김두관,金斗官,남,1959.04.10,43,정당인,동아대학교 정치외교학과 4년 졸업,16.88
3,경상남도,3,민주노동당,임수태,林守泰,남,1953.06.10,49,정당인,서울대학교 농과대학 4년졸업,8.6
3,제주특별자치도,1,한나라당,신구범,愼久範,남,1942.02.02,60,정당인,육군사관학교 4년 중퇴,45.41
3,제주특별자치도,2,새천년민주당,우근민,禹瑾敏,남,1942.11.04,59,공무원,경희대학교 경영행정대학원 2년 졸업,51.4
3,제주특별자치도,3,민국당,신두완,申斗完,남,1928.12.15,73,정당인,홍익대학교 법과 4년 졸업,3.18
4,서울특별시,1,열린우리당,강금실,康錦實,여,1957.02.12,49,변호사,서울대학교 법학과 졸업,27.31
4,서울특별시,2,한나라당,오세훈,吳世勳,남,1961.01.04,45,변호사,고려대학교 대학원 졸업 (법학박사),61.05
4,서울특별시,3,민주당,박주선,朴柱宣,남,1949.07.23,56,변호사,서울대학교 법학과 대학원(석사과정) 수료(2년),7.71
4,서울특별시,4,민주노동당,김종철,金鍾哲,남,1970.10.15,35,정당인,서울대학교 경제학과 졸업,2.97
4,서울특별시,5,국민중심당,임웅균,任雄均,남,1955.10.06,50,성악가,Osimo 아카데미 오페라과 졸업,0.35
4,서울특별시,6,시민당,이귀선,李貴仙,여,1959.03.23,47,정당인,신라대학교 일반대학원 졸업 (체육학석사),0.12
4,서울특별시,7,한미준,이태희,李泰熙,남,1958.12.09,47,정당인,프랑스 파리 H.E.I 대학교 국제관계와 외교학부 박사과정2년 수료,0.11
4,서울특별시,8,무소속,백승원,白承元,남,1949.09.22,56,평화기계대표,한국방송통신대학교 법학과 1학년 재학중,0.34
4,부산광역시,1,열린우리당,오거돈,吳巨敦,남,1948.10.28,57,열린우리당 정당인,동아대 대학원 행정학 박사,24.12
4,부산광역시,2,한나라당,허남식,許南植,남,1949.03.14,57,부산광역시장,서울대학교 행정대학원 졸업,65.54
4,부산광역시,4,민주노동당,김석준,金錫俊,남,1957.03.28,49,부산대학교 사범대 일반사회교육과 교수,서울대학교 대학원(박사) 졸업,10.32
4,대구광역시,1,열린우리당,이재용,李在庸,남,1954.07.01,51,정당인,서울대학교 치과대학 졸업,21.08
4,대구광역시,2,한나라당,김범일,金範鎰,남,1950.10.21,55,정당인,서울대학교 상과대학(경영학사) 졸업,70.15
4,대구광역시,4,민주노동당,이연재,李演宰,남,1962.12.28,43,정당인,경북대학교 철학과 졸업,3.91
4,대구광역시,5,국민중심당,박승국,朴承國,남,1940.04.01,66,정당인,경북대학교 사범대학 지리학과 졸업,0.96
4,대구광역시,6,무소속,백승홍,白承弘,남,1943.11.21,62,정치인,청구대학 경상학부 경제학과 1년 중퇴,3.88
4,인천광역시,1,열린우리당,최기선,崔箕善,남,1945.05.15,61,인천대학교 석좌교수,서울대학교 법학과 졸업,23.58
4,인천광역시,2,한나라당,안상수,安相洙,남,1946.05.28,60,인천광역시장,서울대학교 대학원 경영학과 졸업 (경영학 석사),61.93
4,인천광역시,3,민주당,신경철,申景澈,남,1953.08.21,52,인천광역시의회의원,인천대학교 산업경영공학과 3학년 재학,5.21
4,인천광역시,4,민주노동당,김성진,金聖珍,남,1960.02.22,46,민주노동당 인천광역시당 대표자,인하대학교 토목공학과 3년 중퇴,9.27
4,광주광역시,1,열린우리당,조영택,趙泳澤,남,1951.01.21,55,정당인,한양대학교 대학원 행정학 박사과정 수료,33.94
4,광주광역시,2,한나라당,한영,韓映,여,1941.02.27,65,한국여성재단 광주네트워크 대표,전남대학교 정치학과 졸업,3.97
4,광주광역시,3,민주당,박광태,朴光泰,남,1943.06.02,62,광주광역시장,조선대학교 법정대학 졸업,51.61
4,광주광역시,4,민주노동당,오병윤,吳秉潤,남,1957.06.26,48,정당인,전남대학교 사범대학 국어교육과 3년제적,10.46
4,대전광역시,1,열린우리당,염홍철,廉弘喆,남,1944.09.06,61,대전광역시장,중앙대학교 대학원 정치외교학과 졸업(정치학 박사),41.14
4,대전광역시,2,한나라당,박성효,朴城孝,남,1955.02.20,51,충남대학교 겸임교수,대전대학교 대학원 사회복지학과 졸업(사회복지학 석사),43.83
4,대전광역시,3,민주당,최기복,崔基福,남,1946.08.01,59,정당인,고려대학교 정치외교학과 졸업,1.21
4,대전광역시,4,민주노동당,박춘호,朴春鎬,남,1962.06.15,43,정당인,남대전고등학교 졸업,2.82
4,대전광역시,5,국민중심당,남충희,南忠熙,남,1955.01.01,51,기업인,스탠퍼드대학교 토목공학과 졸업(건설경영학 박사),10.45
4,대전광역시,6,한미준,고낙정,高樂正,남,1942.12.05,63,부동산컨설팅업 및 중개업,대전상업고등학교 졸업,0.51
4,울산광역시,1,열린우리당,심규명,沈揆明,남,1965.05.27,41,변호사,울산대학교 정책대학원 졸업(행정학석사),11.51
4,울산광역시,2,한나라당,박맹우,朴孟雨,남,1950.11.08,55,울산광역시장,동의대 대학원 졸업(행정학 박사),63.23
4,울산광역시,4,민주노동당,노옥희,盧玉姬,여,1958.05.15,48,정당인,부산대학교 수학과 졸업,25.25
4,경기도,1,열린우리당,진대제,陳大濟,남,1952.01.20,54,정당인,스탠포드 대학교 전자공학과&lt;박사&gt; 졸업［4년］,30.75
4,경기도,2,한나라당,김문수,金文洙,남,1951.08.27,54,정당인,서울대학교 경영학과 졸업,59.68
4,경기도,3,민주당,박정일,朴正一,남,1962.02.10,44,정당인,한양대학교 산업대학원 전자공학과 졸업,4.05
4,경기도,4,민주노동당,김용한,金容漢,남,1955.11.14,50,성공회대학교 외래교수,서울대학교 대학원 박사과정 졸업 (문학박사),5.5
4,강원도,1,열린우리당,이창복,李昌馥,남,1938.08.29,67,정당인,고려대학교 경제학과 2년 중퇴,22.19
4,강원도,2,한나라당,김진선,金振선,남,1946.11.10,59,공무원,동국대학교 행정학과 졸업,70.56
4,강원도,3,민주당,유재규,柳在珪,남,1933.10.16,72,정당인,동국대학교 정치학과 졸업,4.34
4,강원도,5,국민중심당,유승규,柳昇珪,남,1946.01.19,60,정당인,용인대학교 환경보건학과 2년중퇴,2.9
4,충청북도,1,열린우리당,한범덕,韓凡悳,남,1952.07.26,53,정당인,청주대학교 행정대학원 졸업(행정학석사),30.63
4,충청북도,2,한나라당,정우택,鄭宇澤,남,1953.02.18,53,홍곡과학문화재단 이사장,미국 하와이대 대학원 경제학3년 졸업(경제학박사),59.66
4,충청북도,4,민주노동당,배창호,裵昶晧,남,1960.08.05,45,회사원,경북공업전문대학 토목과 졸업,6.45
4,충청북도,5,국민중심당,조병세,趙炳世,남,1949.03.20,57,정당인,한양대학교 대학원 졸업(경제학박사),3.24
4,충청남도,1,열린우리당,오영교,吳盈敎,남,1948.02.13,58,정당인,고려대학교 경영대학원졸업(경영학석사),21.74
4,충청남도,2,한나라당,이완구,李完九,남,1950.06.02,55,정당인,미시건 주립대학교 대학원 형사정책학과 2년졸업(이학석사),46.31
4,충청남도,4,민주노동당,이용길,李鏞吉,남,1954.04.19,52,노동자(현대자동차 근무),숭전대학교(현 숭실대학교) 철학과 졸업,6.39
4,충청남도,5,국민중심당,이명수,李明洙,남,1955.02.11,51,건양대학교 부총장,성균관대학교 대학원 졸업(행정학 박사),25.54
4,전라북도,1,열린우리당,김완주,金完柱,남,1946.05.25,60,정당인,서울대학교 행정대학원 행정학과 졸업,48.08
4,전라북도,2,한나라당,문용주,文庸柱,남,1951.04.24,55,정당인,원광대 대학원 교육학 박사,7.76
4,전라북도,3,민주당,정균환,鄭均桓,남,1943.07.23,62,정당인,성균관대학교 대학원 졸업 (정치학 석사),36.53
4,전라북도,4,민주노동당,염경석,廉京石,남,1960.08.05,45,국민건강보험관리공단,전북대 법학과 졸업,7.61
4,전라남도,1,열린우리당,서범석,徐凡錫,남,1951.01.10,55,홍익대학교 초빙교수,미국 위스콘신메디슨대 대학원 교육정책학과2년 졸업(석사),19.19
4,전라남도,2,한나라당,박재순,朴載淳,남,1944.09.29,61,정당인,조선대학교 대학원 졸업(정치학박사),5.85
4,전라남도,3,민주당,박준영,朴峻瑩,남,1946.10.21,59,전라남도지사,성균관대학교 대학원 졸업(정치학 박사),67.69
4,전라남도,4,민주노동당,박웅두,朴雄斗,남,1968.07.27,37,농업,전남대학교 농과대학 농학과 졸,7.25
4,경상북도,1,열린우리당,박명재,朴明在,남,1947.07.05,58,정당인,연세대학교 행정대학원 졸업 (행정학 석사),23.19
4,경상북도,2,한나라당,김관용,金寬容,남,1942.11.29,63,정당인,영남대학교행정대학원 졸업(행정학 석사),76.8
4,경상남도,1,열린우리당,김두관,金斗官,남,1959.04.10,47,정당인,동아대학교 정치외교학과 졸업,25.41
4,경상남도,2,한나라당,김태호,金台鎬,남,1962.08.21,43,정무직 공무원,서울대학교 대학원졸업 (교육학박사),63.12
4,경상남도,4,민주노동당,문성현,文成賢,남,1952.02.08,54,정당인,서울대학교 경영학과 졸업,10.05
4,경상남도,5,국민중심당,김재주,金在珠,남,1939.11.27,66,정당인,동국대학교 법정대학 정치외교학과 졸업,1.4
4,제주특별자치도,1,열린우리당,진철훈,秦哲薰,남,1954.09.06,51,정당인,단국대학교 대학원 건축공학과(도시계획전공) 졸업 (공학박사),16.15
4,제주특별자치도,2,한나라당,현명관,玄明官,남,1941.09.02,64,경영인,일본 게이오대학원 경제학과 졸업(경제학석사,
4,제주특별자치도,6,무소속,김태환,金泰煥,남,1942.05.21,64,정치인,연세대학교 행정대학원 졸업(행정학석사),42.73
5,서울특별시,1,한나라당,오세훈,吳世勳,남,1961.01.04,49,서울시장,고려대학교 대학원 졸업(법학 박사),47.43
5,서울특별시,2,민주당,한명숙,韓明淑,여,1944.03.24,66,정당인,이화여자대학교 일반대학원 여성학과 졸업(문학석사),46.83
5,서울특별시,3,자유선진당,지상욱,池尙昱,남,1965.05.16,45,자유선진당 대변인,일본 동경대학대학원 졸업(건축공학 박사),2.04
5,서울특별시,7,진보신당,노회찬,魯會燦,남,1956.08.31,53,정당인,고려대학교 정치외교학과 졸업,3.26
5,서울특별시,8,미래연합,석종현,石琮顯,남,1943.10.23,66,정당인,독일 튀빙앤대학교 법학박사,0.41
5,부산광역시,1,한나라당,허남식,許南植,남,1949.03.14,61,부산광역시장,서울대학교 행정대학원 졸업(행정학 석사),55.42
5,부산광역시,2,민주당,김정길,金正吉,남,1945.05.28,65,정당인,부산대학교 생물학과 졸업,44.57
5,대구광역시,1,한나라당,김범일,金範鎰,남,1950.10.21,59,공무원,서울대학교 경영학과 졸업,72.92
5,대구광역시,2,민주당,이승천,李承天,남,1962.03.08,48,대구미래대경찰행정학과 부교수,계명대학교대학원 법학과 박사과정수료,16.86
