대,선거구명,정당명,성명,한자,성별,생년월일,연령,직업,학력,경력,득표수,득표율
2,전라남도,새정치국민회의,허경만,許京萬,남,1938.03.04,60,공무원,서울대 사법대학원 졸업,"현)전라남도지사
국회부의장(5선 국회의원)","918,300",100
2,경상북도,한나라당,이의근,李義根,남,1938.11.07,59,경상북도지사,영남대 경제학과 졸업,"청와대 행정수석비서관
경상북도지사(23대, 26대)","911,728",72
2,경상남도,한나라당,김혁규,金爀珪,남,1939.08.01,58,공무원,부산대법정대학행정학과졸업,"대통령비서실민정비서관
현 경상남도지사","939,358",74.6
2,제주특별자치도,새정치국민회의,우근민,禹瑾敏,남,1942.11.04,55,정당인,경희대 행정대학원 졸업,"제주도지사
총무처차관","139,695",52.8
3,서울특별시,한나라당,이명박,李明博,남,1941.12.19,60,정당인,고려대학교 경영대학 4년 졸업,"현대건설(주) 회장
제14대, 제15대 국회의원","1,819,057",52.3
3,부산광역시,한나라당,안상영,安相英,남,1938.11.18,63,부산광역시장,서울대학교 토목공학과 4년 졸업,"해운항만청장
(현)부산광역시장(민선2기)","729,589",63.8
3,대구광역시,한나라당,조해녕,曺海寧,남,1943.11.04,58,한국재난연구원원장,서울대학교 행정대학원 2년 졸업,"대구광역시장
내무부장관","452,943",61.2
3,인천광역시,한나라당,안상수,安相洙,남,1946.05.28,56,정당인,서울대학교 경영대학원 5학기졸업,"제2대 인천광역시장선거 한나라당 후보
제15대 국회의원","393,932",56.2
3,광주광역시,새천년민주당,박광태,朴光泰,남,1943.06.02,59,정당인,조선대학교법정대학4년졸업,"국회의원(3선)
한국발명진흥회 회장","185,938",46.8
3,대전광역시,한나라당,염홍철,廉弘喆,남,1944.09.06,57,정당인,중앙대학교 대학원3년 졸업(정치학박사),"대전광역시장(93.3~95.3)
국립한밭대학교총장(2000.4~2002.4)","191,832",46.6
3,울산광역시,한나라당,박맹우,朴孟雨,남,1950.11.08,51,정당인,경남대학교행정대학원2년졸업,"제25회 행정고등고시 합격
경상남도 함안군수","197,772",53.1
3,경기도,한나라당,손학규,孫鶴圭,남,1947.11.22,54,정당인,영국옥스포드대학교 정치학박사(5년) 졸업,"보건복지부 장관
14·15·16대 국회의원","1,744,291",58.4
3,강원도,한나라당,김진선,金振선,남,1946.11.10,55,공무원,동국대학교행정학과4년졸업,"한나라당 당무위원
(현)강원도지사","468,987",71.1
3,충청북도,한나라당,이원종,李元鐘,남,1942.04.04,60,공무원(도지사),성균관대학교 행정학과 4년 졸업,"서울특별시장
(현)충청북도지사","343,546",58.6
3,충청남도,자민련,심대평,沈大平,남,1941.04.07,61,충청남도지사,서울대학교 경제학과 4년졸업,"대통령비서실행정수석 비서관
(현)충청남도 지사","508,796",67
3,전라북도,새천년민주당,강현욱,姜賢旭,남,1938.03.27,64,정당인,서울대학교 외교학과 4년 졸업,"농림부장관
15~16대 국회의원","571,650",74.6
3,전라남도,새천년민주당,박태영,朴泰榮,남,1941.12.04,60,정당인,서울대학교 상과대학4년졸업,"산업자원부 장관
국회의원(14대, 담양.장성)","563,545",57.8
3,경상북도,한나라당,이의근,李義根,남,1938.11.07,63,경상북도지사,청구대(현 영남대학교) 경제학과4년졸업,"대통령 행정수석비서관
동북아 자치연합의장","1,028,080",85.5
3,경상남도,한나라당,김혁규,金爀珪,남,1939.08.01,62,공무원,창원대학교 경영대학원졸업(경영학석사),"제 27, 29, 30대 경상남도지사
(현)경상남도지사","920,706",74.5
3,제주특별자치도,새천년민주당,우근민,禹瑾敏,남,1942.11.04,59,공무원,경희대학교 경영행정대학원 2년 졸업,"(주)남해화학 사장
총무처 차관","135,283",51.4
4,서울특별시,한나라당,오세훈,吳世勳,남,1961.01.04,45,변호사,고려대학교 대학원 졸업 (법학박사),"제16대 국회의원 역임
한나라당 상임운영위원(최고위원) 역임","2,409,760",61.1
4,부산광역시,한나라당,허남식,許南植,남,1949.03.14,57,부산광역시장,서울대학교 행정대학원 졸업,"부산광역시 정무부시장
(現)부산광역시장","895,214",65.55
4,대구광역시,한나라당,김범일,金範鎰,남,1950.10.21,55,정당인,서울대학교 상과대학(경영학사) 졸업,"산림청장
대구광역시 정무부시장","636,057",70.15
4,인천광역시,한나라당,안상수,安相洙,남,1946.05.28,60,인천광역시장,서울대학교 대학원 경영학과 졸업 (경영학 석사),"제15대 국회의원
동양그룹 종합조정실 사장","526,932",61.93
4,광주광역시,민주당,박광태,朴光泰,남,1943.06.02,62,광주광역시장,조선대학교 법정대학 졸업,"광주광역시장
제14,15,16대 국회의원","239,884",51.62
4,대전광역시,한나라당,박성효,朴城孝,남,1955.02.20,51,충남대학교 겸임교수,대전대학교 대학원 사회복지학과 졸업(사회복지학 석사),"대전광역시 정무부시장
대전광역시 기획관리실장","231,489",43.84
4,울산광역시,한나라당,박맹우,朴孟雨,남,1950.11.08,55,울산광역시장,동의대 대학원 졸업(행정학 박사),"제25회 행정고시 합격
경상남도 함안군수","261,361",63.23
4,경기도,한나라당,김문수,金文洙,남,1951.08.27,54,정당인,서울대학교 경영학과 졸업,제15·16·17대 국회의원(한나라당 경기 부천 소사구),"2,181,677",59.68
4,강원도,한나라당,김진선,金振선,남,1946.11.10,59,공무원,동국대학교 행정학과 졸업,강원도지사,"471,613",70.57
4,충청북도,한나라당,정우택,鄭宇澤,남,1953.02.18,53,홍곡과학문화재단 이사장,미국 하와이대 대학원 경제학3년 졸업(경제학박사),"15·16대 국회의원
해양수산부장관","361,157",59.66
4,충청남도,한나라당,이완구,李完九,남,1950.06.02,55,정당인,미시건 주립대학교 대학원 형사정책학과 2년졸업(이학석사),"충남북경찰청장
제15, 16대 국회의원","379,420",46.31
4,전라북도,열린우리당,김완주,金完柱,남,1946.05.25,60,정당인,서울대학교 행정대학원 행정학과 졸업,"전국시장.군수.구청장협의회 대표회장
전주시장(재선)","389,436",48.08
4,전라남도,민주당,박준영,朴峻瑩,남,1946.10.21,59,전라남도지사,성균관대학교 대학원 졸업(정치학 박사),"중앙일보 뉴욕특파원
김대중대통령 공보수석비서관 겸 청와대 대변인","640,894",67.69
4,경상북도,한나라당,김관용,金寬容,남,1942.11.29,63,정당인,영남대학교행정대학원 졸업(행정학 석사),"대통령 민정비서실 행정관
민선1,2,3기 구미시장","961,363",76.8
4,경상남도,한나라당,김태호,金台鎬,남,1962.08.21,43,정무직 공무원,서울대학교 대학원졸업 (교육학박사),"거창군수
경상남도지사","852,377",63.13
4,제주특별자치도,무소속,김태환,金泰煥,남,1942.05.21,64,정치인,연세대학교 행정대학원 졸업(행정학석사),"제주도지사
제주시장","117,244",42.73
5,서울특별시,한나라당,오세훈,吳世勳,남,1961.01.04,49,서울시장,고려대학교 대학원 졸업(법학 박사),"(現)서울시장
(前)16대 국회의원","2,086,127",47.43
5,부산광역시,한나라당,허남식,許南植,남,1949.03.14,61,부산광역시장,서울대학교 행정대학원 졸업(행정학 석사),"부산광역시장
전국시도지사협의회 회장","770,507",55.42
5,대구광역시,한나라당,김범일,金範鎰,남,1950.10.21,59,공무원,서울대학교 경영학과 졸업,"(전)산림청장
(현)대구광역시장","633,118",72.92
5,인천광역시,민주당,송영길,宋永吉,남,1963.03.21,47,변호사,연세대학교 경영학과 졸업,"인천 계양을 3선 국회의원
민주당 최고위원","556,902",52.69
5,광주광역시,민주당,강운태,姜雲太,남,1948.11.15,61,정치인,서울대학교 외교학과 졸업,"제6대 광주광역시장
제62대 내무부장관","297,003",56.73
5,대전광역시,자유선진당,염홍철,廉弘喆,남,1944.09.06,65,경남대학교 북한대학원 석좌교수,중앙대학교 대학원졸업(정치학박사),"(전)대전광역시장
(전)한밭대학교총장","276,122",46.67
5,울산광역시,한나라당,박맹우,朴孟雨,남,1951.12.06,58,울산광역시장,동의대학교 대학원졸업(행정학박사),"(전)경상남도 함안군수
(현)울산광역시장","279,421",61.26
5,경기도,한나라당,김문수,金文洙,남,1951.08.27,58,경기도지사,서울대학교 경영대학 경영학과 졸,"(전)3선 국회의원
(현) 경기도지사","2,271,492",52.2
5,강원도,민주당,이광재,李光宰,남,1965.02.28,45,정당인,연세대학교 법학과 졸업,"청와대 국정상황실장
17 · 18대 국회의원","388,443",54.36
5,충청북도,민주당,이시종,李始鍾,남,1947.04.18,63,정당인,서울대학교 문리과대학 정치학과 졸업,"前 17,18대 국회의원
前 민선 1,2,3기 충주시장","349,913",51.22
5,충청남도,민주당,안희정,安熙正,남,1965.05.01,45,정당인,고려대학교 철학과 졸업,"민주당 최고위원
민주당 행복도시원안사수특별위원회 공동위원장","367,288",42.25
5,전라북도,민주당,김완주,金完柱,남,1946.05.25,64,정무직공무원(전라북도지사),서울대학교 행정대학원 행정학과 졸업,"전주시장(재선)
전국시장군수구청장협의회 대표회장","569,980",68.67
5,전라남도,민주당,박준영,朴晙瑩,남,1946.10.21,63,공무원(전라남도지사),성균관대학교 대학원 졸업(정치학박사),"前 김대중대통령 공보수석 비서관겸 대변인
現 제35대 전라남도지사","629,984",68.3
5,경상북도,한나라당,김관용,金寬容,남,1942.11.29,67,경상북도지사,영남대학교 행정대학원 졸업 (행정학석사),"現경상북도지사
前구미시장 3선","913,812",75.36
5,경상남도,무소속,김두관,金斗官,남,1959.04.10,51,정치인,동아대학교 정치외교학과 졸업,"참여정부 행정자치부장관
민선 1,2기 남해군수","812,336",53.5
5,제주특별자치도,무소속,우근민,禹瑾敏,남,1942.11.04,67,정치인,경희대학교 경영행정대학원(행정학석사) 졸업,"(전)총무처차관
(전)제주도지사","110,603",41.4
6,서울특별시,새정치민주연합,박원순,朴元淳,남,1956.03.26,58,서울특별시장,단국대학교 문리과대학 사학과 졸업(문학사),"(전)희망제작소 상임이사
(현)서울특별시장","2,752,171",56.12
6,부산광역시,새누리당,서병수,徐秉洙,남,1952.01.09,62,정당인,북일리노이대학교 박사과정 졸업(1983.9. ~ 1987.12. 경제학 박사),"(전)민선2기 해운대구청장
(전)16,17,18,19대 국회의원","797,926",50.65
6,대구광역시,새누리당,권영진,權泳臻,남,1962.12.10,51,정당인,고려대학교 일반대학원 정치외교학과 졸업(정치학 박사),"(전)서울특별시 정무부시장
(전)18대 국회의원","581,175",55.95
6,인천광역시,새누리당,유정복,劉正福,남,1957.06.16,56,정당인,연세대학교 대학원 정치학과 박사과정 수료,"(전)제1대 안전행정부 장관
(전)제17,18,19대 국회의원(3선)","615,077",49.95
6,광주광역시,새정치민주연합,윤장현,尹壯鉉,남,1949.04.26,65,정당인,조선대학교 대학원 의학박사,"(전)새정치연합(가칭)창당준비위원회 공동위원장
(전)아름다운가게 공동대표","367,203",57.85
6,대전광역시,새정치민주연합,권선택,權善宅,남,1955.12.01,58,정당인,대전대학교대학원 행정학과 졸업(행정학 박사),"(전) 17, 18대 국회의원
(전) 청와대 인사비서관","322,762",50.07
6,울산광역시,새누리당,김기현,金起炫,남,1959.02.21,55,정치인,서울대학교 법학과 졸업,"(전)제17,18,19대 국회의원
(전)새누리당 정책위 의장","306,311",65.42
6,세종특별자치시,새정치민주연합,이춘희,李春熙,남,1955.12.06,58,정당인,한양대학교 도시대학원 도시개발경영학과 졸업(도시학 박사),"(전) 행정중심복합도시건설청장
(전) 건설교통부 차관","36,203",57.78
6,경기도,새누리당,남경필,南景弼,남,1965.01.20,49,정당인,"美 예일대학교 경영대학원 졸업(경영학 석사, 1994. 8 ~ 1996. 5)","(전)5선 국회의원(15, 16, 17, 18, 19대)
(전)한나라당 최고위원","2,524,981",50.43
6,강원도,새정치민주연합,최문순,崔文洵,남,1956.02.04,58,공무원,서울대학교 대학원 영어영문학과 졸업(문학석사),"(전)제18대국회의원
(현)강원도지사","381,338",49.76
6,충청북도,새정치민주연합,이시종,李始鍾,남,1947.04.18,67,충청북도지사,서울대학교 문리과대학 정치학과 졸업,"(전)17,18대 국회의원
(현)충청북도지사","361,115",49.75
6,충청남도,새정치민주연합,안희정,安熙正,남,1965.05.01,49,충청남도지사,고려대학교 철학과 졸업,"(전) 민주당 최고위원
(현) 충청남도지사","465,994",52.21
6,전라북도,새정치민주연합,송하진,宋河珍,남,1952.04.29,62,정당인,고려대학교 대학원 졸업(행정학 박사),"(전) 제36, 37대 전주시장
(전) 전북 시장군수 협의회 회장","599,654",69.23
6,전라남도,새정치민주연합,이낙연,李洛淵,남,1952.12.20,61,정당인,서울대학교 법과대학 법학과 졸업,"(전)제16,17,18,19대 국회의원
(전)국회 농림수산식품위원장","755,233",77.96
6,경상북도,새누리당,김관용,金寬容,남,1942.11.29,71,공무원(경상북도지사),영남대학교 행정대학원 졸업[행정학석사(자치행정)],"(전)전국시도지사협의회장
(현)경상북도지사","986,989",77.73
6,경상남도,새누리당,홍준표,洪準杓,남,1954.12.05,59,공무원,고려대학교 법과대학 행정학과 졸업,"(현)경상남도지사
(전)한나라당 대표최고위원","913,162",58.85
6,제주특별자치도,새누리당,원희룡,元喜龍,남,1964.02.14,50,정당인,서울대학교 법과대학 공법학과 졸업,"(전)16,17,18대 국회의원(서울 양천갑)
(전)한나라당 사무총장","172,793",59.97
